initial equation: 1.848x-0.832y-59.947=0
learning rate: 0.0004
(T=  1) equation: 1.055x-0.999y-59.958=0, error: 23.00%
(T=251) equation: 0.957x-1.068y-59.851=0, error: 12.00%
(T=252) equation: 0.956x-1.067y-59.851=0, error: 12.00%
(T=253) equation: 0.956x-1.067y-59.851=0, error: 12.00%
(T=254) equation: 0.952x-1.069y-59.850=0, error: 12.00%
(T=255) equation: 0.948x-1.072y-59.850=0, error: 12.00%
(T=256) equation: 0.976x-1.070y-59.849=0, error: 15.00%
(T=257) equation: 0.972x-1.071y-59.849=0, error: 14.00%
(T=258) equation: 0.968x-1.071y-59.848=0, error: 14.00%
(T=259) equation: 0.965x-1.071y-59.848=0, error: 13.00%
(T=260) equation: 0.963x-1.071y-59.847=0, error: 12.00%
(T=261) equation: 0.961x-1.072y-59.847=0, error: 12.00%
(T=262) equation: 0.959x-1.072y-59.847=0, error: 12.00%
(T=263) equation: 0.958x-1.071y-59.846=0, error: 12.00%
(T=264) equation: 0.958x-1.070y-59.846=0, error: 12.00%
(T=265) equation: 0.957x-1.069y-59.845=0, error: 12.00%
(T=266) equation: 0.957x-1.068y-59.845=0, error: 12.00%
(T=267) equation: 0.956x-1.068y-59.845=0, error: 12.00%
(T=268) equation: 0.956x-1.067y-59.844=0, error: 12.00%
(T=269) equation: 0.955x-1.066y-59.844=0, error: 12.00%
(T=270) equation: 0.952x-1.068y-59.843=0, error: 12.00%
(T=271) equation: 0.948x-1.071y-59.843=0, error: 12.00%
(T=272) equation: 0.976x-1.069y-59.842=0, error: 15.00%
(T=273) equation: 0.972x-1.070y-59.842=0, error: 14.00%
(T=274) equation: 0.968x-1.070y-59.841=0, error: 14.00%
(T=275) equation: 0.965x-1.070y-59.841=0, error: 14.00%
(T=276) equation: 0.963x-1.071y-59.841=0, error: 12.00%
(T=277) equation: 0.961x-1.071y-59.840=0, error: 12.00%
(T=278) equation: 0.959x-1.071y-59.840=0, error: 12.00%
(T=279) equation: 0.957x-1.071y-59.839=0, error: 12.00%
(T=280) equation: 0.956x-1.070y-59.839=0, error: 12.00%
(T=281) equation: 0.956x-1.069y-59.839=0, error: 12.00%
(T=282) equation: 0.952x-1.072y-59.838=0, error: 12.00%
(T=283) equation: 0.948x-1.074y-59.838=0, error: 12.00%
(T=284) equation: 0.976x-1.073y-59.837=0, error: 15.00%
(T=285) equation: 0.972x-1.073y-59.837=0, error: 14.00%
(T=286) equation: 0.968x-1.074y-59.836=0, error: 14.00%
(T=287) equation: 0.965x-1.074y-59.836=0, error: 13.00%
(T=288) equation: 0.963x-1.074y-59.835=0, error: 12.00%
(T=289) equation: 0.961x-1.074y-59.835=0, error: 12.00%
(T=290) equation: 0.959x-1.075y-59.835=0, error: 12.00%
(T=291) equation: 0.958x-1.074y-59.834=0, error: 12.00%
(T=292) equation: 0.958x-1.073y-59.834=0, error: 12.00%
(T=293) equation: 0.957x-1.072y-59.833=0, error: 12.00%
(T=294) equation: 0.957x-1.071y-59.833=0, error: 12.00%
(T=295) equation: 0.956x-1.070y-59.833=0, error: 12.00%
(T=296) equation: 0.956x-1.069y-59.832=0, error: 12.00%
(T=297) equation: 0.956x-1.069y-59.832=0, error: 12.00%
(T=298) equation: 0.952x-1.071y-59.831=0, error: 12.00%
(T=299) equation: 0.948x-1.074y-59.831=0, error: 12.00%
(T=300) equation: 0.976x-1.072y-59.830=0, error: 15.00%
(T=301) equation: 0.972x-1.073y-59.830=0, error: 14.00%
(T=302) equation: 0.968x-1.073y-59.829=0, error: 14.00%
(T=303) equation: 0.965x-1.073y-59.829=0, error: 13.00%
(T=304) equation: 0.963x-1.073y-59.829=0, error: 12.00%
(T=305) equation: 0.961x-1.074y-59.828=0, error: 12.00%
(T=306) equation: 0.959x-1.074y-59.828=0, error: 12.00%
(T=307) equation: 0.958x-1.073y-59.827=0, error: 12.00%
(T=308) equation: 0.958x-1.072y-59.827=0, error: 12.00%
(T=309) equation: 0.957x-1.071y-59.827=0, error: 12.00%
(T=310) equation: 0.957x-1.070y-59.826=0, error: 12.00%
(T=311) equation: 0.956x-1.070y-59.826=0, error: 12.00%
(T=312) equation: 0.956x-1.069y-59.825=0, error: 12.00%
(T=313) equation: 0.955x-1.068y-59.825=0, error: 12.00%
(T=314) equation: 0.955x-1.067y-59.825=0, error: 12.00%
(T=315) equation: 0.951x-1.069y-59.824=0, error: 12.00%
(T=316) equation: 0.948x-1.072y-59.824=0, error: 12.00%
(T=317) equation: 0.975x-1.070y-59.823=0, error: 15.00%
(T=318) equation: 0.971x-1.071y-59.823=0, error: 14.00%
(T=319) equation: 0.967x-1.071y-59.822=0, error: 14.00%
(T=320) equation: 0.965x-1.071y-59.822=0, error: 13.00%
(T=321) equation: 0.963x-1.072y-59.821=0, error: 12.00%
(T=322) equation: 0.960x-1.072y-59.821=0, error: 12.00%
(T=323) equation: 0.958x-1.072y-59.821=0, error: 12.00%
(T=324) equation: 0.958x-1.071y-59.820=0, error: 12.00%
(T=325) equation: 0.957x-1.070y-59.820=0, error: 12.00%
(T=326) equation: 0.957x-1.070y-59.819=0, error: 12.00%
(T=327) equation: 0.956x-1.069y-59.819=0, error: 12.00%
(T=328) equation: 0.956x-1.068y-59.819=0, error: 12.00%
(T=329) equation: 0.955x-1.067y-59.818=0, error: 12.00%
(T=330) equation: 0.955x-1.066y-59.818=0, error: 12.00%
(T=331) equation: 0.951x-1.069y-59.817=0, error: 12.00%
(T=332) equation: 0.947x-1.071y-59.817=0, error: 12.00%
(T=333) equation: 0.975x-1.070y-59.816=0, error: 15.00%
(T=334) equation: 0.971x-1.070y-59.816=0, error: 14.00%
(T=335) equation: 0.967x-1.070y-59.815=0, error: 14.00%
(T=336) equation: 0.965x-1.071y-59.815=0, error: 13.00%
(T=337) equation: 0.963x-1.071y-59.815=0, error: 12.00%
(T=338) equation: 0.960x-1.071y-59.814=0, error: 12.00%
(T=339) equation: 0.958x-1.071y-59.814=0, error: 12.00%
(T=340) equation: 0.958x-1.070y-59.813=0, error: 12.00%
(T=341) equation: 0.957x-1.070y-59.813=0, error: 12.00%
(T=342) equation: 0.957x-1.069y-59.813=0, error: 12.00%
(T=343) equation: 0.956x-1.068y-59.812=0, error: 12.00%
(T=344) equation: 0.956x-1.067y-59.812=0, error: 12.00%
(T=345) equation: 0.955x-1.066y-59.811=0, error: 12.00%
(T=346) equation: 0.955x-1.065y-59.811=0, error: 12.00%
(T=347) equation: 0.951x-1.068y-59.811=0, error: 12.00%
(T=348) equation: 0.947x-1.070y-59.810=0, error: 12.00%
(T=349) equation: 0.975x-1.069y-59.809=0, error: 15.00%
(T=350) equation: 0.971x-1.069y-59.809=0, error: 14.00%
(T=351) equation: 0.967x-1.070y-59.809=0, error: 14.00%
(T=352) equation: 0.965x-1.070y-59.808=0, error: 13.00%
(T=353) equation: 0.962x-1.070y-59.808=0, error: 12.00%
(T=354) equation: 0.960x-1.070y-59.807=0, error: 12.00%
(T=355) equation: 0.958x-1.070y-59.807=0, error: 12.00%
(T=356) equation: 0.958x-1.070y-59.807=0, error: 12.00%
(T=357) equation: 0.957x-1.069y-59.806=0, error: 12.00%
(T=358) equation: 0.957x-1.068y-59.806=0, error: 12.00%
(T=359) equation: 0.956x-1.067y-59.805=0, error: 12.00%
(T=360) equation: 0.956x-1.066y-59.805=0, error: 12.00%
(T=361) equation: 0.955x-1.065y-59.805=0, error: 12.00%
(T=362) equation: 0.955x-1.065y-59.804=0, error: 12.00%
(T=363) equation: 0.951x-1.067y-59.804=0, error: 12.00%
(T=364) equation: 0.947x-1.070y-59.803=0, error: 12.00%
(T=365) equation: 0.975x-1.068y-59.803=0, error: 15.00%
(T=366) equation: 0.971x-1.068y-59.802=0, error: 14.00%
(T=367) equation: 0.967x-1.069y-59.802=0, error: 14.00%
(T=368) equation: 0.965x-1.069y-59.801=0, error: 14.00%
(T=369) equation: 0.962x-1.069y-59.801=0, error: 12.00%
(T=370) equation: 0.960x-1.069y-59.801=0, error: 12.00%
(T=371) equation: 0.958x-1.070y-59.800=0, error: 12.00%
